tbs,snr,bler,itbs,nr,totru
256,-29.7,1,8,4,8
256,-29.7,1,8,8,16
256,-29.7,1,8,16,32
256,-29.7,1,8,32,64
256,-29.7,1,8,64,128
256,-29.7,1,8,128,256
256,-29.6,1,0,1,10
256,-29.6,1,0,2,20
256,-29.6,1,0,4,40
256,-29.6,1,0,8,80
256,-29.6,1,0,16,160
256,-29.6,1,0,32,320
256,-29.6,1,0,64,640
256,-29.6,1,0,128,1280
256,-29.6,1,1,1,8
256,-29.6,1,1,2,16
256,-29.6,1,1,4,32
256,-29.6,1,1,8,64
256,-29.6,1,1,16,128
256,-29.6,1,1,32,256
256,-29.6,1,1,64,512
256,-29.6,1,1,128,1024
256,-29.6,1,2,1,6
256,-29.6,1,2,2,12
256,-29.6,1,2,4,24
256,-29.6,1,2,8,48
256,-29.6,1,2,16,96
256,-29.6,1,2,32,192
256,-29.6,1,2,64,384
256,-29.6,1,2,128,768
256,-29.6,1,3,1,5
256,-29.6,1,3,2,10
256,-29.6,1,3,4,20
256,-29.6,1,3,8,40
256,-29.6,1,3,16,80
256,-29.6,1,3,32,160
256,-29.6,1,3,64,320
256,-29.6,1,3,128,640
256,-29.6,1,4,1,4
256,-29.6,1,4,2,8
256,-29.6,1,4,4,16
256,-29.6,1,4,8,32
256,-29.6,1,4,16,64
256,-29.6,1,4,32,128
256,-29.6,1,4,64,256
256,-29.6,1,4,128,512
256,-29.6,1,6,1,3
256,-29.6,1,6,2,6
256,-29.6,1,6,4,12
256,-29.6,1,6,8,24
256,-29.6,1,6,16,48
256,-29.6,1,6,32,96
256,-29.6,1,6,64,192
256,-29.6,1,6,128,384
256,-29.6,1,8,1,2
256,-29.6,1,8,2,4
256,-29.6,1,8,4,8
256,-29.6,1,8,8,16
256,-29.6,1,8,16,32
256,-29.6,1,8,32,64
256,-29.6,1,8,64,128
256,-29.6,1,8,128,256
256,-29.5,1,0,1,10
256,-29.5,1,0,2,20
256,-29.5,1,0,4,40
256,-29.5,1,0,8,80
256,-29.5,1,0,16,160
256,-29.5,1,0,32,320
256,-29.5,1,0,64,640
256,-29.5,1,0,128,1280
256,-29.5,1,1,1,8
256,-29.5,1,1,2,16
256,-29.5,1,1,4,32
256,-29.5,1,1,8,64
256,-29.5,1,1,16,128
256,-29.5,1,1,32,256
256,-29.5,1,1,64,512
256,-29.5,1,1,128,1024
256,-29.5,1,2,1,6
256,-29.5,1,2,2,12
256,-29.5,1,2,4,24
256,-29.5,1,2,8,48
256,-29.5,1,2,16,96
256,-29.5,1,2,32,192
256,-29.5,1,2,64,384
256,-29.5,1,2,128,768
256,-29.5,1,3,1,5
256,-29.5,1,3,2,10
256,-29.5,1,3,4,20
256,-29.5,1,3,8,40
256,-29.5,1,3,16,80
256,-29.5,1,3,32,160
256,-29.5,1,3,64,320
256,-29.5,1,3,128,640
256,-29.5,1,4,1,4
256,-29.5,1,4,2,8
256,-29.5,1,4,4,16
256,-29.5,1,4,8,32
256,-29.5,1,4,16,64
256,-29.5,1,4,32,128
256,-29.5,1,4,64,256
256,-29.5,1,4,128,512
256,-29.5,1,6,1,3
256,-29.5,1,6,2,6
256,-29.5,1,6,4,12
256,-29.5,1,6,8,24
256,-29.5,1,6,16,48
256,-29.5,1,6,32,96
256,-29.5,1,6,64,192
256,-29.5,1,6,128,384
256,-29.5,1,8,1,2
256,-29.5,1,8,2,4
256,-29.5,1,8,4,8
256,-29.5,1,8,8,16
256,-29.5,1,8,16,32
256,-29.5,1,8,32,64
256,-29.5,1,8,64,128
256,-29.5,1,8,128,256
256,-29.4,1,0,1,10
256,-29.4,1,0,2,20
256,-29.4,1,0,4,40
256,-29.4,1,0,8,80
256,-29.4,1,0,16,160
256,-29.4,1,0,32,320
256,-29.4,1,0,64,640
256,-29.4,1,0,128,1280
256,-29.4,1,1,1,8
256,-29.4,1,1,2,16
256,-29.4,1,1,4,32
256,-29.4,1,1,8,64
256,-29.4,1,1,16,128
256,-29.4,1,1,32,256
256,-29.4,1,1,64,512
256,-29.4,1,1,128,1024
256,-29.4,1,2,1,6
256,-29.4,1,2,2,12
256,-29.4,1,2,4,24
256,-29.4,1,2,8,48
256,-29.4,1,2,16,96
256,-29.4,1,2,32,192
256,-29.4,1,2,64,384
256,-29.4,1,2,128,768
256,-29.4,1,3,1,5
256,-29.4,1,3,2,10
256,-29.4,1,3,4,20
256,-29.4,1,3,8,40
256,-29.4,1,3,16,80
256,-29.4,1,3,32,160
256,-29.4,1,3,64,320
256,-29.4,1,3,128,640
256,-29.4,1,4,1,4
256,-29.4,1,4,2,8
256,-29.4,1,4,4,16
256,-29.4,1,4,8,32
256,-29.4,1,4,16,64
256,-29.4,1,4,32,128
256,-29.4,1,4,64,256
256,-29.4,1,4,128,512
256,-29.4,1,6,1,3
256,-29.4,1,6,2,6
256,-29.4,1,6,4,12
256,-29.4,1,6,8,24
256,-29.4,1,6,16,48
256,-29.4,1,6,32,96
256,-29.4,1,6,64,192
256,-29.4,1,6,128,384
256,-29.4,1,8,1,2
256,-29.4,1,8,2,4
256,-29.4,1,8,4,8
256,-29.4,1,8,8,16
256,-29.4,1,8,16,32
256,-29.4,1,8,32,64
256,-29.4,1,8,64,128
256,-29.4,1,8,128,256
256,-29.3,1,0,1,10
256,-29.3,1,0,2,20
256,-29.3,1,0,4,40
256,-29.3,1,0,8,80
256,-29.3,1,0,16,160
256,-29.3,1,0,32,320
256,-29.3,1,0,64,640
256,-29.3,1,0,128,1280
256,-29.3,1,1,1,8
256,-29.3,1,1,2,16
256,-29.3,1,1,4,32
256,-29.3,1,1,8,64
256,-29.3,1,1,16,128
256,-29.3,1,1,32,256
256,-29.3,1,1,64,512
256,-29.3,1,1,128,1024
256,-29.3,1,2,1,6
256,-29.3,1,2,2,12
256,-29.3,1,2,4,24
256,-29.3,1,2,8,48
256,-29.3,1,2,16,96
256,-29.3,1,2,32,192
256,-29.3,1,2,64,384
256,-29.3,1,2,128,768
256,-29.3,1,3,1,5
256,-29.3,1,3,2,10
256,-29.3,1,3,4,20
256,-29.3,1,3,8,40
256,-29.3,1,3,16,80
256,-29.3,1,3,32,160
256,-29.3,1,3,64,320
256,-29.3,1,3,128,640
256,-29.3,1,4,1,4
256,-29.3,1,4,2,8
256,-29.3,1,4,4,16
256,-29.3,1,4,8,32
256,-29.3,1,4,16,64
256,-29.3,1,4,32,128
256,-29.3,1,4,64,256
256,-29.3,1,4,128,512
256,-29.3,1,6,1,3
256,-29.3,1,6,2,6
256,-29.3,1,6,4,12
256,-29.3,1,6,8,24
256,-29.3,1,6,16,48
256,-29.3,1,6,32,96
256,-29.3,1,6,64,192
256,-29.3,1,6,128,384
256,-29.3,1,8,1,2
256,-29.3,1,8,2,4
256,-29.3,1,8,4,8
256,-29.3,1,8,8,16
256,-29.3,1,8,16,32
256,-29.3,1,8,32,64
256,-29.3,1,8,64,128
256,-29.3,1,8,128,256
256,-29.2,1,0,1,10
256,-29.2,1,0,2,20
256,-29.2,1,0,4,40
256,-29.2,1,0,8,80
256,-29.2,1,0,16,160
256,-29.2,1,0,32,320
256,-29.2,1,0,64,640
256,-29.2,1,0,128,1280
256,-29.2,1,1,1,8
256,-29.2,1,1,2,16
256,-29.2,1,1,4,32
256,-29.2,1,1,8,64
256,-29.2,1,1,16,128
256,-29.2,1,1,32,256
256,-29.2,1,1,64,512
256,-29.2,1,1,128,1024
256,-29.2,1,2,1,6
256,-29.2,1,2,2,12
256,-29.2,1,2,4,24
256,-29.2,1,2,8,48
256,-29.2,1,2,16,96
256,-29.2,1,2,32,192
256,-29.2,1,2,64,384
256,-29.2,1,2,128,768
256,-29.2,1,3,1,5
256,-29.2,1,3,2,10
256,-29.2,1,3,4,20
256,-29.2,1,3,8,40
256,-29.2,1,3,16,80
256,-29.2,1,3,32,160
256,-29.2,1,3,64,320
256,-29.2,1,3,128,640
256,-29.2,1,4,1,4
256,-29.2,1,4,2,8
256,-29.2,1,4,4,16
256,-29.2,1,4,8,32
256,-29.2,1,4,16,64
256,-29.2,1,4,32,128
256,-29.2,1,4,64,256
256,-29.2,1,4,128,512
256,-29.2,1,6,1,3
256,-29.2,1,6,2,6
256,-29.2,1,6,4,12
256,-29.2,1,6,8,24
256,-29.2,1,6,16,48
256,-29.2,1,6,32,96
256,-29.2,1,6,64,192
256,-29.2,1,6,128,384
256,-29.2,1,8,1,2
256,-29.2,1,8,2,4
256,-29.2,1,8,4,8
256,-29.2,1,8,8,16
256,-29.2,1,8,16,32
256,-29.2,1,8,32,64
256,-29.2,1,8,64,128
256,-29.2,1,8,128,256
256,-29.1,1,0,1,10
256,-29.1,1,0,2,20
256,-29.1,1,0,4,40
256,-29.1,1,0,8,80
256,-29.1,1,0,16,160
256,-29.1,1,0,32,320
256,-29.1,1,0,64,640
256,-29.1,1,0,128,1280
256,-29.1,1,1,1,8
256,-29.1,1,1,2,16
256,-29.1,1,1,4,32
256,-29.1,1,1,8,64
256,-29.1,1,1,16,128
256,-29.1,1,1,32,256
256,-29.1,1,1,64,512
256,-29.1,1,1,128,1024
256,-29.1,1,2,1,6
256,-29.1,1,2,2,12
256,-29.1,1,2,4,24
256,-29.1,1,2,8,48
256,-29.1,1,2,16,96
256,-29.1,1,2,32,192
256,-29.1,1,2,64,384
256,-29.1,1,2,128,768
256,-29.1,1,3,1,5
256,-29.1,1,3,2,10
256,-29.1,1,3,4,20
256,-29.1,1,3,8,40
256,-29.1,1,3,16,80
256,-29.1,1,3,32,160
256,-29.1,1,3,64,320
256,-29.1,1,3,128,640
256,-29.1,1,4,1,4
256,-29.1,1,4,2,8
256,-29.1,1,4,4,16
256,-29.1,1,4,8,32
256,-29.1,1,4,16,64
256,-29.1,1,4,32,128
256,-29.1,1,4,64,256
256,-29.1,1,4,128,512
256,-29.1,1,6,1,3
256,-29.1,1,6,2,6
256,-29.1,1,6,4,12
256,-29.1,1,6,8,24
256,-29.1,1,6,16,48
256,-29.1,1,6,32,96
256,-29.1,1,6,64,192
256,-29.1,1,6,128,384
256,-29.1,1,8,1,2
256,-29.1,1,8,2,4
256,-29.1,1,8,4,8
256,-29.1,1,8,8,16
256,-29.1,1,8,16,32
256,-29.1,1,8,32,64
256,-29.1,1,8,64,128
256,-29.1,1,8,128,256
256,-29,1,0,1,10
256,-29,1,0,2,20
256,-29,1,0,4,40
256,-29,1,0,8,80
256,-29,1,0,16,160
256,-29,1,0,32,320
256,-29,1,0,64,640
256,-29,1,0,128,1280
256,-29,1,1,1,8
256,-29,1,1,2,16
256,-29,1,1,4,32
256,-29,1,1,8,64
256,-29,1,1,16,128
256,-29,1,1,32,256
256,-29,1,1,64,512
256,-29,1,1,128,1024
256,-29,1,2,1,6
256,-29,1,2,2,12
256,-29,1,2,4,24
256,-29,1,2,8,48
256,-29,1,2,16,96
256,-29,1,2,32,192
256,-29,1,2,64,384
256,-29,1,2,128,768
256,-29,1,3,1,5
256,-29,1,3,2,10
256,-29,1,3,4,20
256,-29,1,3,8,40
256,-29,1,3,16,80
256,-29,1,3,32,160
256,-29,1,3,64,320
256,-29,1,3,128,640
256,-29,1,4,1,4
256,-29,1,4,2,8
256,-29,1,4,4,16
256,-29,1,4,8,32
256,-29,1,4,16,64
256,-29,1,4,32,128
256,-29,1,4,64,256
256,-29,1,4,128,512
256,-29,1,6,1,3
256,-29,1,6,2,6
256,-29,1,6,4,12
256,-29,1,6,8,24
256,-29,1,6,16,48
256,-29,1,6,32,96
256,-29,1,6,64,192
256,-29,1,6,128,384
256,-29,1,8,1,2
256,-29,1,8,2,4
256,-29,1,8,4,8
256,-29,1,8,8,16
256,-29,1,8,16,32
256,-29,1,8,32,64
256,-29,1,8,64,128
256,-29,1,8,128,256
256,-28.9,1,0,1,10
256,-28.9,1,0,2,20
256,-28.9,1,0,4,40
256,-28.9,1,0,8,80
256,-28.9,1,0,16,160
256,-28.9,1,0,32,320
256,-28.9,1,0,64,640
256,-28.9,1,0,128,1280
256,-28.9,1,1,1,8
256,-28.9,1,1,2,16
256,-28.9,1,1,4,32
256,-28.9,1,1,8,64
256,-28.9,1,1,16,128
256,-28.9,1,1,32,256
256,-28.9,1,1,64,512
256,-28.9,1,1,128,1024
256,-28.9,1,2,1,6
256,-28.9,1,2,2,12
256,-28.9,1,2,4,24
256,-28.9,1,2,8,48
256,-28.9,1,2,16,96
256,-28.9,1,2,32,192
256,-28.9,1,2,64,384
256,-28.9,1,2,128,768
256,-28.9,1,3,1,5
256,-28.9,1,3,2,10
256,-28.9,1,3,4,20
256,-28.9,1,3,8,40
256,-28.9,1,3,16,80
256,-28.9,1,3,32,160
256,-28.9,1,3,64,320
256,-28.9,1,3,128,640
256,-28.9,1,4,1,4
256,-28.9,1,4,2,8
256,-28.9,1,4,4,16
256,-28.9,1,4,8,32
256,-28.9,1,4,16,64
256,-28.9,1,4,32,128
256,-28.9,1,4,64,256
256,-28.9,1,4,128,512
256,-28.9,1,6,1,3
256,-28.9,1,6,2,6
256,-28.9,1,6,4,12
256,-28.9,1,6,8,24
256,-28.9,1,6,16,48
256,-28.9,1,6,32,96
256,-28.9,1,6,64,192
256,-28.9,1,6,128,384
256,-28.9,1,8,1,2
256,-28.9,1,8,2,4
256,-28.9,1,8,4,8
256,-28.9,1,8,8,16
256,-28.9,1,8,16,32
256,-28.9,1,8,32,64
256,-28.9,1,8,64,128
256,-28.9,1,8,128,256
256,-28.8,1,0,1,10
256,-28.8,1,0,2,20
256,-28.8,1,0,4,40
256,-28.8,1,0,8,80
256,-28.8,1,0,16,160
256,-28.8,1,0,32,320
256,-28.8,1,0,64,640
256,-28.8,1,0,128,1280
256,-28.8,1,1,1,8
256,-28.8,1,1,2,16
256,-28.8,1,1,4,32
256,-28.8,1,1,8,64
256,-28.8,1,1,16,128
256,-28.8,1,1,32,256
256,-28.8,1,1,64,512
256,-28.8,1,1,128,1024
256,-28.8,1,2,1,6
256,-28.8,1,2,2,12
256,-28.8,1,2,4,24
256,-28.8,1,2,8,48
256,-28.8,1,2,16,96
256,-28.8,1,2,32,192
256,-28.8,1,2,64,384
256,-28.8,1,2,128,768
256,-28.8,1,3,1,5
256,-28.8,1,3,2,10
256,-28.8,1,3,4,20
256,-28.8,1,3,8,40
256,-28.8,1,3,16,80
256,-28.8,1,3,32,160
256,-28.8,1,3,64,320
256,-28.8,1,3,128,640
256,-28.8,1,4,1,4
256,-28.8,1,4,2,8
256,-28.8,1,4,4,16
256,-28.8,1,4,8,32
256,-28.8,1,4,16,64
256,-28.8,1,4,32,128
256,-28.8,1,4,64,256
256,-28.8,1,4,128,512
256,-28.8,1,6,1,3
256,-28.8,1,6,2,6
256,-28.8,1,6,4,12
256,-28.8,1,6,8,24
256,-28.8,1,6,16,48
256,-28.8,1,6,32,96
256,-28.8,1,6,64,192
256,-28.8,1,6,128,384
256,-28.8,1,8,1,2
256,-28.8,1,8,2,4
256,-28.8,1,8,4,8
256,-28.8,1,8,8,16
256,-28.8,1,8,16,32
256,-28.8,1,8,32,64
256,-28.8,1,8,64,128
256,-28.8,1,8,128,256
256,-28.7,1,0,1,10
256,-28.7,1,0,2,20
256,-28.7,1,0,4,40
256,-28.7,1,0,8,80
256,-28.7,1,0,16,160
256,-28.7,1,0,32,320
256,-28.7,1,0,64,640
256,-28.7,1,0,128,1280
256,-28.7,1,1,1,8
256,-28.7,1,1,2,16
256,-28.7,1,1,4,32
256,-28.7,1,1,8,64
256,-28.7,1,1,16,128
256,-28.7,1,1,32,256
256,-28.7,1,1,64,512
256,-28.7,1,1,128,1024
256,-28.7,1,2,1,6
256,-28.7,1,2,2,12
256,-28.7,1,2,4,24
256,-28.7,1,2,8,48
256,-28.7,1,2,16,96
256,-28.7,1,2,32,192
256,-28.7,1,2,64,384
256,-28.7,1,2,128,768
256,-28.7,1,3,1,5
256,-28.7,1,3,2,10
256,-28.7,1,3,4,20
256,-28.7,1,3,8,40
256,-28.7,1,3,16,80
256,-28.7,1,3,32,160
256,-28.7,1,3,64,320
256,-28.7,1,3,128,640
256,-28.7,1,4,1,4
256,-28.7,1,4,2,8
256,-28.7,1,4,4,16
256,-28.7,1,4,8,32
256,-28.7,1,4,16,64
256,-28.7,1,4,32,128
256,-28.7,1,4,64,256
256,-28.7,1,4,128,512
256,-28.7,1,6,1,3
256,-28.7,1,6,2,6
256,-28.7,1,6,4,12
256,-28.7,1,6,8,24
256,-28.7,1,6,16,48
256,-28.7,1,6,32,96
256,-28.7,1,6,64,192
256,-28.7,1,6,128,384
256,-28.7,1,8,1,2
256,-28.7,1,8,2,4
256,-28.7,1,8,4,8
256,-28.7,1,8,8,16
256,-28.7,1,8,16,32
256,-28.7,1,8,32,64
256,-28.7,1,8,64,128
256,-28.7,1,8,128,256
256,-28.6,1,0,1,10
256,-28.6,1,0,2,20
256,-28.6,1,0,4,40
256,-28.6,1,0,8,80
256,-28.6,1,0,16,160
256,-28.6,1,0,32,320
256,-28.6,1,0,64,640
256,-28.6,1,0,128,1280
256,-28.6,1,1,1,8
256,-28.6,1,1,2,16
256,-28.6,1,1,4,32
256,-28.6,1,1,8,64
256,-28.6,1,1,16,128
256,-28.6,1,1,32,256
256,-28.6,1,1,64,512
256,-28.6,1,1,128,1024
256,-28.6,1,2,1,6
256,-28.6,1,2,2,12
256,-28.6,1,2,4,24
256,-28.6,1,2,8,48
256,-28.6,1,2,16,96
256,-28.6,1,2,32,192
256,-28.6,1,2,64,384
256,-28.6,1,2,128,768
256,-28.6,1,3,1,5
256,-28.6,1,3,2,10
256,-28.6,1,3,4,20
256,-28.6,1,3,8,40
256,-28.6,1,3,16,80
256,-28.6,1,3,32,160
256,-28.6,1,3,64,320
256,-28.6,1,3,128,640
256,-28.6,1,4,1,4
256,-28.6,1,4,2,8
256,-28.6,1,4,4,16
256,-28.6,1,4,8,32
256,-28.6,1,4,16,64
256,-28.6,1,4,32,128
256,-28.6,1,4,64,256
256,-28.6,1,4,128,512
256,-28.6,1,6,1,3
256,-28.6,1,6,2,6
256,-28.6,1,6,4,12
256,-28.6,1,6,8,24
256,-28.6,1,6,16,48
256,-28.6,1,6,32,96
256,-28.6,1,6,64,192
256,-28.6,1,6,128,384
256,-28.6,1,8,1,2
256,-28.6,1,8,2,4
256,-28.6,1,8,4,8
256,-28.6,1,8,8,16
256,-28.6,1,8,16,32
256,-28.6,1,8,32,64
256,-28.6,1,8,64,128
256,-28.6,1,8,128,256
256,-28.5,1,0,1,10
256,-28.5,1,0,2,20
256,-28.5,1,0,4,40
256,-28.5,1,0,8,80
256,-28.5,1,0,16,160
256,-28.5,1,0,32,320
256,-28.5,1,0,64,640
256,-28.5,1,0,128,1280
256,-28.5,1,1,1,8
256,-28.5,1,1,2,16
256,-28.5,1,1,4,32
256,-28.5,1,1,8,64
256,-28.5,1,1,16,128
256,-28.5,1,1,32,256
256,-28.5,1,1,64,512
256,-28.5,1,1,128,1024
256,-28.5,1,2,1,6
256,-28.5,1,2,2,12
256,-28.5,1,2,4,24
256,-28.5,1,2,8,48
256,-28.5,1,2,16,96
256,-28.5,1,2,32,192
256,-28.5,1,2,64,384
256,-28.5,1,2,128,768
256,-28.5,1,3,1,5
256,-28.5,1,3,2,10
256,-28.5,1,3,4,20
256,-28.5,1,3,8,40
256,-28.5,1,3,16,80
256,-28.5,1,3,32,160
256,-28.5,1,3,64,320
256,-28.5,1,3,128,640
256,-28.5,1,4,1,4
256,-28.5,1,4,2,8
256,-28.5,1,4,4,16
256,-28.5,1,4,8,32
256,-28.5,1,4,16,64
256,-28.5,1,4,32,128
256,-28.5,1,4,64,256
256,-28.5,1,4,128,512
256,-28.5,1,6,1,3
256,-28.5,1,6,2,6
256,-28.5,1,6,4,12
256,-28.5,1,6,8,24
256,-28.5,1,6,16,48
256,-28.5,1,6,32,96
256,-28.5,1,6,64,192
256,-28.5,1,6,128,384
256,-28.5,1,8,1,2
256,-28.5,1,8,2,4
256,-28.5,1,8,4,8
256,-28.5,1,8,8,16
256,-28.5,1,8,16,32
256,-28.5,1,8,32,64
256,-28.5,1,8,64,128
256,-28.5,1,8,128,256
256,-28.4,1,0,1,10
256,-28.4,1,0,2,20
256,-28.4,1,0,4,40
256,-28.4,1,0,8,80
256,-28.4,1,0,16,160
256,-28.4,1,0,32,320
256,-28.4,1,0,64,640
256,-28.4,1,0,128,1280
256,-28.4,1,1,1,8
256,-28.4,1,1,2,16
256,-28.4,1,1,4,32
256,-28.4,1,1,8,64
256,-28.4,1,1,16,128
256,-28.4,1,1,32,256
256,-28.4,1,1,64,512
256,-28.4,1,1,128,1024
256,-28.4,1,2,1,6
256,-28.4,1,2,2,12
256,-28.4,1,2,4,24
256,-28.4,1,2,8,48
256,-28.4,1,2,16,96
256,-28.4,1,2,32,192
256,-28.4,1,2,64,384
256,-28.4,1,2,128,768
256,-28.4,1,3,1,5
256,-28.4,1,3,2,10
256,-28.4,1,3,4,20
256,-28.4,1,3,8,40
256,-28.4,1,3,16,80
256,-28.4,1,3,32,160
256,-28.4,1,3,64,320
256,-28.4,1,3,128,640
256,-28.4,1,4,1,4
256,-28.4,1,4,2,8
256,-28.4,1,4,4,16
256,-28.4,1,4,8,32
256,-28.4,1,4,16,64
256,-28.4,1,4,32,128
256,-28.4,1,4,64,256
256,-28.4,1,4,128,512
256,-28.4,1,6,1,3
256,-28.4,1,6,2,6
256,-28.4,1,6,4,12
256,-28.4,1,6,8,24
256,-28.4,1,6,16,48
256,-28.4,1,6,32,96
256,-28.4,1,6,64,192
